id,userId,text
60d21ad867d0d8992e610b41,NULL,"springer spaniel puppy dog long-coated white dog"
60d21ad867d0d8992e610b42,NULL,"Man's best friend white and brown short coated dog..."
60d21ad967d0d8992e610b44,NULL,"small short-coated brown and white dog on tree bra..."
60d21ad967d0d8992e610b46,NULL,"Straight from the camera, no editing or filters. R..."
60d21adb67d0d8992e610b4a,NULL,"yellow dog, yellow lab, dog, butterfly, summer whi..."
60d21ae067d0d8992e610b5a,NULL,"Made a good friend while I was out taking pictures..."
60d21ae067d0d8992e610b5b,NULL,"Puppies on the Street two long-coated yellow puppi..."
60d21ae167d0d8992e610b5d,NULL,"brown dog near tree"
60d21ae267d0d8992e610b5f,NULL,"short-coated black dog"
60d21ae767d0d8992e610b6d,NULL,"black and brown dog"
60d21ae967d0d8992e610b73,NULL,"Carefree white puddle"
60d21ae967d0d8992e610b74,NULL,"boi grayscale photography of dog lying on bed"
60d21aeb67d0d8992e610b79,NULL,"Milo durmiendo después de un largo día de jugar en..."
60d21aec67d0d8992e610b7a,NULL,"@adventure.yuki desert black dog walking on sand d..."
60d21aed67d0d8992e610b80,NULL,"black quadcopter remote"
60d21aee67d0d8992e610b81,NULL,"@lilwaynethefrenchie on IG short-coated white pupp..."
60d21aef67d0d8992e610b84,NULL,"Sad dogs laying near each other short-coated white..."
60d21af267d0d8992e610b8c,NULL,"Sleeping alaskan huskies two white dogs lying on s..."
60d21af367d0d8992e610b8f,NULL,"Shane's morning snuggle routine with the dog. He i..."
60d21af467d0d8992e610b92,NULL,"Endless Summer man walking towards beach with surf..."
60d21af567d0d8992e610b95,NULL,"selective focus photography of short-coated tan, w..."
60d21af667d0d8992e610b9a,NULL,"white and tan korgi"
60d21af867d0d8992e610b9f,NULL,"Walking Dogs four dogs on park"
60d21af967d0d8992e610ba3,NULL,"two brown and white beagles"
60d21afa67d0d8992e610ba4,NULL,"Dog in musem golden retriever lying on floor"
60d21afa67d0d8992e610ba6,NULL,"two white-and-tan dogs"
60d21afc67d0d8992e610bab,NULL,"@adventure.yuki ave snow II dog sitting down on sn..."
60d21afe67d0d8992e610bb2,NULL,"straight haired cockerpoo selective focus photogra..."
60d21b0067d0d8992e610bb7,NULL,"my lil old soul with a baby face // his handle is ..."
60d21b0567d0d8992e610bc7,NULL,"selective focus photography of two brown and white..."
60d21b0e67d0d8992e610be2,NULL,"black and brown long coated dog"
60d21b0f67d0d8992e610be5,NULL,"Visiting a friend in Italy, in the Marche region. ..."
60d21b1067d0d8992e610be7,NULL,"Sun light"
60d21b1067d0d8992e610be9,NULL,"short-coated white and brown dog on rock"
60d21b1167d0d8992e610beb,NULL,"Esta foto pertenece a una sesion que hice en un pi..."
60d21b1267d0d8992e610bee,NULL,"-SUNSETS ON THE BEACH- people on beach during suns..."
60d21b1567d0d8992e610bf6,NULL,"Gratitude short-coated tan dog on seashore"
60d21b1567d0d8992e610bf7,NULL,"dog biting red ball"
60d21b1767d0d8992e610bfc,NULL,"Handsome dog.  brown and white short coated dog we..."
60d21b1967d0d8992e610c02,NULL,"fun. black and brown shih tzu"
60d21b1967d0d8992e610c03,NULL,"@adventure.yuki ave snow dog standing on snow cove..."
60d21b1b67d0d8992e610c06,NULL,"selective focus photography of brown and black dog..."
60d21b1c67d0d8992e610c0a,NULL,"adult short-coated white dog lying on grass"
60d21b1c67d0d8992e610c0b,NULL,"medium-size short-coated white dog on white snowfi..."
60d21b1d67d0d8992e610c0c,NULL,"short-coated brown dog near seashore during daytim..."
60d21b1d67d0d8992e610c0d,NULL,"I hope you like the photo! If you do, please leave..."
60d21b2167d0d8992e610c19,NULL,"Please Smile, I'm taking photo brown and white chi..."
60d21b2267d0d8992e610c1c,NULL,"On the way in Granada pack of black and fawn dogs ..."
60d21b2367d0d8992e610c1e,NULL,"The look I tan and black dog laying on grass"
60d21b2467d0d8992e610c22,NULL,"that's mine. small long-coated black dog lying on ..."
60d21b2667d0d8992e610c28,NULL,"adult white and tan corgi"
60d21b2a67d0d8992e610c31,NULL,"Although she is a Labrador, a breed that is known ..."
60d21b2b67d0d8992e610c34,NULL,"We are family three fawn pugs"
60d21b2c67d0d8992e610c38,NULL,"black and brown dog outdoors"
60d21b2f67d0d8992e610c3f,NULL,"Alaskan Malamute black and white wolf"
60d21b2f67d0d8992e610c41,NULL,"short-coated tan dog"
60d21b3267d0d8992e610c48,NULL,"brown and white dog sitting under white hut"
60d21b3367d0d8992e610c4c,NULL,"adult white and black Boston terrier"
60d21b3567d0d8992e610c53,NULL,"We have two dogs – Bocephus, the grumpy big brothe..."
60d21b3667d0d8992e610c54,NULL,"dog about to catch red ring"
60d21b3667d0d8992e610c55,NULL,"E R C I Y E S M O U N T grayscale photo of man rid..."
60d21b3767d0d8992e610c58,NULL,"short-coated brown and white dog"
60d21b3867d0d8992e610c5b,NULL,"It was a beautiful day. On our drive back from Oot..."
60d21b3867d0d8992e610c5d,NULL,"woman holding gray and white dog outdoor during da..."
60d21b3a67d0d8992e610c60,NULL,"Hiking with my dog in the woods. black labrador re..."
60d21b3d67d0d8992e610c6a,NULL,"body of water"
