id,title,price
1,"A Light in the Attic",£51.77
2,"Tipping the Velvet",£53.74
3,Soumission,£50.10
4,"Sharp Objects",£47.82
5,"Sapiens: A Brief History of Humankind",£54.23
6,"The Requiem Red",£22.65
7,"The Dirty Little Secrets of Getting Your Dream Job",£33.34
8,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93
9,"The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics",£22.60
10,"The Black Maria",£52.15
11,"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99
12,"Shakespeare's Sonnets",£20.66
13,"Set Me Free",£17.46
14,"Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)",£52.29
15,"Rip it Up and Start Again",£35.02
16,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25
17,Olio,£23.88
18,"Mesaerion: The Best Science Fiction Stories 1800-1849",£37.59
19,"Libertarianism for Beginners",£51.33
20,"It's Only the Himalayas",£45.17
21,"In Her Wake",£12.84
22,"How Music Works",£37.32
23,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52
24,"Chase Me (Paris Nights #2)",£25.27
25,"Black Dust",£34.53
26,"Birdsong: A Story in Pictures",£54.64
27,"America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana",£22.50
28,"Aladdin and His Wonderful Lamp",£53.13
29,"Worlds Elsewhere: Journeys Around Shakespeare’s Globe",£40.30
30,"Wall and Piece",£44.18
31,"The Four Agreements: A Practical Guide to Personal Freedom",£17.66
32,"The Five Love Languages: How to Express Heartfelt Commitment to Your Mate",£31.05
33,"The Elephant Tree",£23.82
34,"The Bear and the Piano",£36.89
35,"Sophie's World",£15.94
36,"Penny Maybe",£33.29
37,"Maude (1883-1993):She Grew Up with the country",£18.02
38,"In a Dark, Dark Wood",£19.63
39,"Behind Closed Doors",£52.22
40,"You can't bury them all: Poems",£33.63
41,"Slow States of Collapse: Poems",£57.31
42,"Reasons to Stay Alive",£26.41
43,"Private Paris (Private #10)",£47.61
44,"#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.",£23.11
45,"Without Borders (Wanderlove #1)",£45.07
46,"When We Collided",£31.77
47,"We Love You, Charlie Freeman",£50.27
48,"Untitled Collection: Sabbath Poems 2014",£14.27
49,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18
50,"Unicorn Tracks",£18.78
51,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52
52,"Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2)",£16.28
53,"Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity",£31.12
54,"This One Summer",£19.49
55,Thirst,£17.27
56,"The Torch Is Passed: A Harding Family Story",£19.09
57,"The Secret of Dreadwillow Carse",£56.13
58,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41
59,"The Past Never Ends",£56.50
60,"The Natural History of Us (The Fine Art of Pretending #2)",£45.22
61,"The Nameless City (The Nameless City #1)",£38.16
